households,share_score,L1_D,L2_D
MPS0010,,,
MPS0016,,,
MPS0037,,,
MPS0054,,,
MPS0055,,,
MPS0066,,,
MPS0075,,,
MPS0083,,,
MPS0088,,,
MPS0098,,,
MPS0099,,,
MPS0100,,,
MPS0102,,,
MPS0122,,,
MPS0166,,,
MPS0178,,,
MPS0222,,,
MPS0229,,,
MPS0246,,,
MPS0250,,,
MPS0290,,,
MPS0316,,,
MPS0350,,,
MPS0374,,,
MPS0384,,,
MPS0390,,,
MPS0392,,,
MPS0393,,,
MPS0400,,,
MPS0402,,,
MPS0406,,,
MPS0423,,,
MPS0433,,,
MPS0440,,,
MPS0443,,,
MPS0447,,,
MPS0450,,,
MPS0454,,,
MPS0455,,,
MPS0465,,,
MPS0468,,,
MPS0471,,,
MPS0474,,,
MPS0477,,,
MPS0478,,,
MPS0479,,,
MPS0487,,,
MPS0490,,,
MPS0496,,,
MPS0497,,,
MPS9052,,,
MPS9106,,,
MPS9246,,,
MPS9251,,,
MPS9305,,,
MPS9317,,,
MPS9360,,,
MPS9375,,,
MPS9404,,,
MPS9471,,,
